date,price,open,high,low,vol.,change %,RSI_14,StochRSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR_14,DI_Plus,DI_Minus,ADX_14,CCI_20,Williams_%R,OBV,RSI_Oversold,RSI_Overbought,MACD_Bullish,Above_SMA200,Trend_Bullish,Market_Regime,Return_5D
2020-01-22,1.22747,"1,242.16",1.24537,1.22369,2610000000.0,-0.65%,68.47985248657744,,,,,1.1905005431319262,1.1735644030929921,0.01891725650963605,0.011702305522135886,0.007214950987500163,,,,0.022505000000000015,38.77551020408165,59.786714063541375,,,-12.979479370604038,15690000000.0,False,False,False,False,False,Bear,-0.02491303249773924
2020-01-23,1.2254,"1,223.92",1.23457,1.22188,2160000000.0,-0.17%,77.00329308452253,,,,,1.1938243009288856,1.1755971715991493,0.019259665116325264,0.013213777440973762,0.006045887675351502,,,,0.021043571428571432,41.46838192865147,57.937612436780746,,,-14.480458269886192,13530000000.0,False,True,False,False,False,Bear,-0.021952015668353364
2020-01-24,1.22142,"1,236.94",1.23936,1.20761,2370000000.0,-0.32%,86.9328743545611,,,,,1.1964524627451822,1.1773941452619279,0.01899095772707793,0.014369213498194595,0.004621744228883333,,,,0.02154571428571428,42.08990850019899,56.66025726031029,,,-17.366398375752404,11160000000.0,False,True,False,False,False,Bear,-0.024577950254621617
2020-01-27,1.2015,"1,207.12",1.21674,1.2,2360000000.0,-1.63%,74.62491846053494,,,,,1.1969331805789745,1.178339472898715,0.01697495099502322,0.01489036099756032,0.0020845899974628983,,,,0.021665714285714288,40.491889753395796,55.110114730317804,,,-31.81060111667035,8800000000.0,False,True,False,False,False,Bear,-0.007548897211818506
2020-01-28,1.19802,"1,208.16",1.21109,1.19403,2310000000.0,-0.29%,72.48409297493838,,,,,1.1970366871905007,1.179111258275236,0.014924404968541305,0.014897169791756518,2.7235176784786916e-05,,,,0.02103000000000001,41.71591603831264,53.36254330548197,,,-50.908504461885805,6490000000.0,False,True,False,False,False,Bear,0.01948214554014127
2020-01-29,1.19689,"1,205.86",1.20741,1.19506,2250000000.0,-0.09%,58.167483895779284,,1.190746,,,1.1970227169818817,1.17980846383307,0.013057630674647491,0.014529261968334713,-0.0014716312936872214,1.265970034345134,1.190746,1.115521965654866,0.01814857142857145,29.43561083123436,44.568639798488704,,16.175019321108625,-70.91866588648324,4240000000.0,False,False,False,False,False,Bear,0.021990324925431626
2020-01-30,1.1985,"1,192.31",1.19872,1.18256,2100000000.0,0.13%,55.997168284789645,,1.192705,,,1.1971634106026547,1.180541465251381,0.011574686362626485,0.013938346847193068,-0.002363660484566583,1.2665104202830517,1.192705,1.118899579716948,0.01827500000000001,25.342974399062026,39.511432479968846,,1.2899627917688405,-74.62187549753251,6340000000.0,False,False,False,False,False,Bear,0.020308719232373873
2020-01-31,1.1914,"1,200.96",1.20318,1.1914,2690000000.0,-0.59%,43.84777543548203,,1.195433,,,1.1966145143547828,1.1809672901434838,0.009714548381839272,0.013093587154122309,-0.003379038772283037,1.2644201924345382,1.195433,1.1264458075654618,0.017519285714285706,21.078811106127983,37.097892118889455,,-0.016680332774151603,-85.92580799235797,3650000000.0,False,False,False,False,False,Bear,0.015737787476918008
2020-02-03,1.19243,"1,194.37",1.19784,1.18762,2380000000.0,0.09%,36.27549735582985,,1.199348,,,1.1962159891781368,1.1814168081770726,0.00822863345806768,0.012120596414911384,-0.0038919629568437038,1.256836948356688,1.199348,1.1418590516433123,0.016871428571428586,19.331075359864613,40.038103302286274,,-14.421327695829131,-84.28594172902397,6030000000.0,False,False,False,False,False,Bear,-0.007555999094286614
2020-02-04,1.22136,"1,204.76",1.2222,1.20159,2360000000.0,2.43%,55.78205004347409,,1.204116,,,1.198610656875457,1.182983207856403,0.009278487766131827,0.011552174685155472,-0.002273686919023646,1.2507919798025318,1.204116,1.1574400201974682,0.018025000000000006,26.558351495938204,39.57598573409959,,31.645503834853884,-38.22639707053029,8390000000.0,False,False,False,False,False,Bear,-0.019142595139844065
